Customer,Mode,Equipment,ID,OriginCityName,OriginStateCode,DestinationCityName,DestinationStateCode,OriginLatitude,OriginLongitude,DestinationLatitude,DestinationLongitude,OriginStop,DestinationStop,FirstStopArrival (Local),FirstStopDeparture (Local),FinalStopArrival (Local),FinalStopDeparture (Local),LoadWeight
84,TL,V,1990053,Maryville,TN,Chicago,IL,35.761,-83.969,41.874,-87.651,35058,25378,2/7/2013 14:45,2/7/2013 16:00,2/8/2013 14:07,2/8/2013 15:55,25000
20,TL,V,1958947,Bay Minette,AL,Sugar Land,TX,30.889,-87.776,29.614,-95.65,20073,31101,1/31/2013 14:30,2/1/2013 9:00,2/4/2013 7:30,2/4/2013 11:30,20000
91,TL,V,1982772,Altavista,VA,Port Murray,NJ,37.111,-79.287,40.786,-74.916,92819,37187,2/4/2013 17:45,2/4/2013 20:40,2/5/2013 9:00,2/5/2013 11:30,42892.5
34,TL,R,2000205,Altavista,VA,Plant City,FL,37.111,-79.287,28.017,-82.125,83611,23638,2/12/2013 9:30,2/12/2013 15:05,2/13/2013 14:30,2/13/2013 15:14,43000
21,TL,R,1985975,Altavista,VA,Carteret,NJ,37.111,-79.287,40.577,-74.228,50087,75772,2/9/2013 11:55,2/9/2013 15:00,2/11/2013 8:00,2/11/2013 12:00,42009.05
19,TL,R,1977731,Madison,IL,McDonough,GA,38.673,-90.173,33.448,-84.147,57278,523,2/1/2013 13:47,2/1/2013 15:59,2/4/2013 8:00,2/4/2013 9:37,37860.82
84,TL,V,2001536,Altavista,VA,Port Murray,NJ,37.111,-79.287,40.786,-74.916,93800,97272,2/11/2013 4:30,2/11/2013 7:02,2/12/2013 7:00,2/12/2013 10:13,42442.37
12,TL,R,1984624,Altavista,VA,Pompano Beach,FL,37.111,-79.287,26.251,-80.123,89897,78985,2/6/2013 15:00,2/6/2013 22:00,2/8/2013 4:00,2/8/2013 9:50,43500
67,TL,R,1980684,Columbus,OH,Wynne,AR,39.963,-83.002,35.227,-90.787,42868,11048,2/5/2013 3:55,2/5/2013 6:18,2/6/2013 8:01,2/6/2013 9:06,39567.73
3,TL,V,1991780,Altavista,VA,La Vergne,TN,37.111,-79.287,36.02,-86.561,30763,40799,2/7/2013 17:45,2/7/2013 21:00,2/8/2013 7:45,2/8/2013 13:30,21117.13
